entry,at,order
"The player ""Zek @ TkiNIriU_5"" passed the room ownership to ""not Krish @ p0RkKY2sKx"".",2021-07-02T06:00:07.027Z,162520560702700
"The player ""not Krish @ p0RkKY2sKx"" stand up with the stack of 98.03.",2021-07-02T05:53:10.012Z,162520519001200
"-- ending hand #137 --",2021-07-02T05:53:07.090Z,162520518709002
"""Danny @ O7X4xHB9uL"" collected 0.40 from pot",2021-07-02T05:53:07.090Z,162520518709001
"Uncalled bet of 0.60 returned to ""Danny @ O7X4xHB9uL""",2021-07-02T05:53:07.090Z,162520518709000
"""not Krish @ p0RkKY2sKx"" folds",2021-07-02T05:53:06.280Z,162520518628000
"""Danny @ O7X4xHB9uL"" raises to 0.80",2021-07-02T05:53:04.562Z,162520518456200
"""not Krish @ p0RkKY2sKx"" posts a big blind of 0.20",2021-07-02T05:53:00.207Z,162520518020705
"""Danny @ O7X4xHB9uL"" posts a small blind of 0.10",2021-07-02T05:53:00.207Z,162520518020704
"Player stacks: #2 ""Danny @ O7X4xHB9uL"" (26.77) | #6 ""not Krish @ p0RkKY2sKx"" (98.23)",2021-07-02T05:53:00.207Z,162520518020701
"-- starting hand #137  (No Limit Texas Hold'em) (dealer: ""Danny @ O7X4xHB9uL"") --",2021-07-02T05:53:00.207Z,162520518020700
"""not Krish @ p0RkKY2sKx"" shows a 5♦, 10♠.",2021-07-02T05:52:58.998Z,162520517899800
"-- ending hand #136 --",2021-07-02T05:52:56.578Z,162520517657802
"""Danny @ O7X4xHB9uL"" collected 1.20 from pot",2021-07-02T05:52:56.578Z,162520517657801
"Uncalled bet of 0.60 returned to ""Danny @ O7X4xHB9uL""",2021-07-02T05:52:56.578Z,162520517657800
"""not Krish @ p0RkKY2sKx"" folds",2021-07-02T05:52:55.771Z,162520517577100
"""Danny @ O7X4xHB9uL"" bets 0.60",2021-07-02T05:52:53.838Z,162520517383800
"Flop:  [7♣, 7♦, Q♠]",2021-07-02T05:52:48.402Z,162520516840200
"""not Krish @ p0RkKY2sKx"" calls 0.60",2021-07-02T05:52:47.576Z,162520516757600
"""Danny @ O7X4xHB9uL"" raises to 0.60",2021-07-02T05:52:15.864Z,162520513586400
"""not Krish @ p0RkKY2sKx"" calls 0.20",2021-07-02T05:52:12.658Z,162520513265800
"""Danny @ O7X4xHB9uL"" posts a big blind of 0.20",2021-07-02T05:52:08.556Z,162520512855607
"""not Krish @ p0RkKY2sKx"" posts a small blind of 0.10",2021-07-02T05:52:08.556Z,162520512855606
"Player stacks: #2 ""Danny @ O7X4xHB9uL"" (26.17) | #6 ""not Krish @ p0RkKY2sKx"" (98.83)",2021-07-02T05:52:08.556Z,162520512855603
"-- starting hand #136  (No Limit Texas Hold'em) (dealer: ""not Krish @ p0RkKY2sKx"") --",2021-07-02T05:52:08.556Z,162520512855602
"The player ""NotNa @ xab-egRwTG"" quits the game with a stack of 0.00.",2021-07-02T05:52:08.556Z,162520512855601
"The player ""Zek @ TkiNIriU_5"" quits the game with a stack of 0.00.",2021-07-02T05:52:08.556Z,162520512855600
"-- ending hand #135 --",2021-07-02T05:52:02.532Z,162520512253202
"""not Krish @ p0RkKY2sKx"" collected 21.44 from pot with Pair, A's (combination: A♥, A♣, K♦, J♦, 9♠)",2021-07-02T05:52:02.532Z,162520512253201
"""not Krish @ p0RkKY2sKx"" collected 30.27 from pot with Pair, A's (combination: A♥, A♣, K♦, J♦, 9♠)",2021-07-02T05:52:02.532Z,162520512253200
"River: 9♠, A♣, 6♣, 5♥ [K♦]",2021-07-02T05:51:58.500Z,162520511850000
"Turn: 9♠, A♣, 6♣ [5♥]",2021-07-02T05:51:54.474Z,162520511447400
"""not Krish @ p0RkKY2sKx"" shows a A♥, J♦.",2021-07-02T05:51:50.453Z,162520511045302
"""NotNa @ xab-egRwTG"" shows a K♥, 8♥.",2021-07-02T05:51:50.453Z,162520511045301
"""Zek @ TkiNIriU_5"" shows a 3♣, 3♠.",2021-07-02T05:51:50.453Z,162520511045300
"""NotNa @ xab-egRwTG"" calls 10.72 and go all in",2021-07-02T05:51:49.644Z,162520510964400
"""not Krish @ p0RkKY2sKx"" bets 10.72 and go all in",2021-07-02T05:51:00.640Z,162520506064000
"Flop:  [9♠, A♣, 6♣]",2021-07-02T05:50:54.157Z,162520505415700
"""not Krish @ p0RkKY2sKx"" calls 10.09",2021-07-02T05:50:53.351Z,162520505335100
"""NotNa @ xab-egRwTG"" calls 10.09",2021-07-02T05:50:52.005Z,162520505200500
"""Zek @ TkiNIriU_5"" raises to 10.09 and go all in",2021-07-02T05:50:25.537Z,162520502553700
"""not Krish @ p0RkKY2sKx"" calls 0.45",2021-07-02T05:50:23.344Z,162520502334400
"""NotNa @ xab-egRwTG"" raises to 0.45",2021-07-02T05:50:21.757Z,162520502175700
"""Danny @ O7X4xHB9uL"" folds",2021-07-02T05:50:17.909Z,162520501790900
"""Zek @ TkiNIriU_5"" posts a big blind of 0.20",2021-07-02T05:50:08.805Z,162520500880507
"""not Krish @ p0RkKY2sKx"" posts a small blind of 0.10",2021-07-02T05:50:08.805Z,162520500880506
"Player stacks: #1 ""Zek @ TkiNIriU_5"" (10.09) | #2 ""Danny @ O7X4xHB9uL"" (26.17) | #3 ""NotNa @ xab-egRwTG"" (20.81) | #6 ""not Krish @ p0RkKY2sKx"" (67.93)",2021-07-02T05:50:08.805Z,162520500880501
"-- starting hand #135  (No Limit Texas Hold'em) (dealer: ""NotNa @ xab-egRwTG"") --",2021-07-02T05:50:08.805Z,162520500880500
"""NotNa @ xab-egRwTG"" shows a 10♦, 7♣.",2021-07-02T05:50:06.531Z,162520500653100
"""Zek @ TkiNIriU_5"" shows a J♦, K♦.",2021-07-02T05:50:06.167Z,162520500616700
"""not Krish @ p0RkKY2sKx"" shows a 4♣, 3♥.",2021-07-02T05:50:04.437Z,162520500443700
"-- ending hand #134 --",2021-07-02T05:50:03.798Z,162520500379802
"""Zek @ TkiNIriU_5"" collected 0.50 from pot",2021-07-02T05:50:03.798Z,162520500379801
"Uncalled bet of 9.59 returned to ""Zek @ TkiNIriU_5""",2021-07-02T05:50:03.798Z,162520500379800
"""not Krish @ p0RkKY2sKx"" folds",2021-07-02T05:50:02.991Z,162520500299100
"""NotNa @ xab-egRwTG"" folds",2021-07-02T05:50:02.091Z,162520500209100
"""Danny @ O7X4xHB9uL"" folds",2021-07-02T05:49:52.355Z,162520499235500
"""Zek @ TkiNIriU_5"" raises to 9.79 and go all in",2021-07-02T05:49:49.526Z,162520498952600
"""not Krish @ p0RkKY2sKx"" posts a big blind of 0.20",2021-07-02T05:49:44.458Z,162520498445807
"""NotNa @ xab-egRwTG"" posts a small blind of 0.10",2021-07-02T05:49:44.458Z,162520498445806
"Player stacks: #1 ""Zek @ TkiNIriU_5"" (9.79) | #2 ""Danny @ O7X4xHB9uL"" (26.17) | #3 ""NotNa @ xab-egRwTG"" (20.91) | #6 ""not Krish @ p0RkKY2sKx"" (68.13)",2021-07-02T05:49:44.458Z,162520498445801
"-- starting hand #134  (No Limit Texas Hold'em) (dealer: ""Danny @ O7X4xHB9uL"") --",2021-07-02T05:49:44.458Z,162520498445800
"""NotNa @ xab-egRwTG"" shows a Q♦, J♥.",2021-07-02T05:49:40.476Z,162520498047600
"""Danny @ O7X4xHB9uL"" shows a K♠, Q♥.",2021-07-02T05:49:40.238Z,162520498023800
"""not Krish @ p0RkKY2sKx"" shows a A♠, 9♠.",2021-07-02T05:49:40.223Z,162520498022300
"-- ending hand #133 --",2021-07-02T05:49:39.442Z,162520497944202
"""NotNa @ xab-egRwTG"" collected 2.60 from pot",2021-07-02T05:49:39.442Z,162520497944201
"Uncalled bet of 18.31 returned to ""NotNa @ xab-egRwTG""",2021-07-02T05:49:39.442Z,162520497944200
"""Danny @ O7X4xHB9uL"" folds",2021-07-02T05:49:38.634Z,162520497863400
"""not Krish @ p0RkKY2sKx"" folds",2021-07-02T05:49:32.069Z,162520497206900
"""NotNa @ xab-egRwTG"" raises to 19.31 and go all in",2021-07-02T05:49:29.471Z,162520496947100
"""Danny @ O7X4xHB9uL"" raises to 1.00",2021-07-02T05:49:25.023Z,162520496502300
"""Zek @ TkiNIriU_5"" folds",2021-07-02T05:49:21.527Z,162520496152700
"""not Krish @ p0RkKY2sKx"" raises to 0.60",2021-07-02T05:49:20.679Z,162520496067900
"""NotNa @ xab-egRwTG"" posts a big blind of 0.20",2021-07-02T05:49:17.228Z,162520495722807
"""Danny @ O7X4xHB9uL"" posts a small blind of 0.10",2021-07-02T05:49:17.228Z,162520495722806
"Player stacks: #1 ""Zek @ TkiNIriU_5"" (9.79) | #2 ""Danny @ O7X4xHB9uL"" (27.17) | #3 ""NotNa @ xab-egRwTG"" (19.31) | #6 ""not Krish @ p0RkKY2sKx"" (68.73)",2021-07-02T05:49:17.228Z,162520495722801
"-- starting hand #133  (No Limit Texas Hold'em) (dealer: ""Zek @ TkiNIriU_5"") --",2021-07-02T05:49:17.228Z,162520495722800
"""not Krish @ p0RkKY2sKx"" shows a K♦, 3♣.",2021-07-02T05:49:14.193Z,162520495419300
"""NotNa @ xab-egRwTG"" shows a 4♦, J♦.",2021-07-02T05:49:14.016Z,162520495401600
"-- ending hand #132 --",2021-07-02T05:49:12.913Z,162520495291302
"""NotNa @ xab-egRwTG"" collected 1.90 from pot",2021-07-02T05:49:12.913Z,162520495291301
"Uncalled bet of 0.95 returned to ""NotNa @ xab-egRwTG""",2021-07-02T05:49:12.913Z,162520495291300
"""Danny @ O7X4xHB9uL"" folds",2021-07-02T05:49:12.107Z,162520495210700
"""not Krish @ p0RkKY2sKx"" folds",2021-07-02T05:48:57.154Z,162520493715400
"""NotNa @ xab-egRwTG"" bets 0.95",2021-07-02T05:48:44.796Z,162520492479600
"""Danny @ O7X4xHB9uL"" checks",2021-07-02T05:48:41.297Z,162520492129700
"Flop:  [J♠, 7♣, 9♦]",2021-07-02T05:48:37.109Z,162520491710900
"""NotNa @ xab-egRwTG"" calls 0.60",2021-07-02T05:48:36.303Z,162520491630300
"""Danny @ O7X4xHB9uL"" calls 0.60",2021-07-02T05:48:32.556Z,162520491255600
"""Zek @ TkiNIriU_5"" folds",2021-07-02T05:48:28.858Z,162520490885800
"""not Krish @ p0RkKY2sKx"" raises to 0.60",2021-07-02T05:48:28.010Z,162520490801000
"""NotNa @ xab-egRwTG"" calls 0.20",2021-07-02T05:48:24.358Z,162520490435800
"""Danny @ O7X4xHB9uL"" posts a big blind of 0.20",2021-07-02T05:48:10.992Z,162520489099207
"""Zek @ TkiNIriU_5"" posts a small blind of 0.10",2021-07-02T05:48:10.992Z,162520489099206
"Player stacks: #1 ""Zek @ TkiNIriU_5"" (9.89) | #2 ""Danny @ O7X4xHB9uL"" (27.77) | #3 ""NotNa @ xab-egRwTG"" (18.01) | #6 ""not Krish @ p0RkKY2sKx"" (69.33)",2021-07-02T05:48:10.992Z,162520489099201
"-- starting hand #132  (No Limit Texas Hold'em) (dealer: ""not Krish @ p0RkKY2sKx"") --",2021-07-02T05:48:10.992Z,162520489099200
"-- ending hand #131 --",2021-07-02T05:48:08.068Z,162520488806802
"""Danny @ O7X4xHB9uL"" collected 2.40 from pot",2021-07-02T05:48:08.068Z,162520488806801
"Uncalled bet of 1.20 returned to ""Danny @ O7X4xHB9uL""",2021-07-02T05:48:08.068Z,162520488806800
"""Zek @ TkiNIriU_5"" folds",2021-07-02T05:48:07.257Z,162520488725700
"""not Krish @ p0RkKY2sKx"" folds",2021-07-02T05:48:05.973Z,162520488597300
"""Danny @ O7X4xHB9uL"" bets 1.20",2021-07-02T05:48:05.057Z,162520488505700
"""Zek @ TkiNIriU_5"" checks",2021-07-02T05:48:02.369Z,162520488236900
"""not Krish @ p0RkKY2sKx"" checks",2021-07-02T05:48:00.133Z,162520488013300
"Flop:  [2♠, 9♣, 8♣]",2021-07-02T05:47:58.145Z,162520487814500
"""not Krish @ p0RkKY2sKx"" calls 0.80",2021-07-02T05:47:57.337Z,162520487733700
"""Danny @ O7X4xHB9uL"" calls 0.80",2021-07-02T05:47:56.277Z,162520487627700
"""Zek @ TkiNIriU_5"" raises to 0.80",2021-07-02T05:47:54.609Z,162520487460900
"""not Krish @ p0RkKY2sKx"" calls 0.20",2021-07-02T05:47:49.794Z,162520486979400
"""NotNa @ xab-egRwTG"" folds",2021-07-02T05:47:33.852Z,162520485385200
"""Danny @ O7X4xHB9uL"" calls 0.20",2021-07-02T05:47:26.764Z,162520484676400
"""Zek @ TkiNIriU_5"" posts a big blind of 0.20",2021-07-02T05:47:24.836Z,162520484483607
"""not Krish @ p0RkKY2sKx"" posts a small blind of 0.10",2021-07-02T05:47:24.836Z,162520484483606
"Player stacks: #1 ""Zek @ TkiNIriU_5"" (10.69) | #2 ""Danny @ O7X4xHB9uL"" (26.17) | #3 ""NotNa @ xab-egRwTG"" (18.01) | #6 ""not Krish @ p0RkKY2sKx"" (70.13)",2021-07-02T05:47:24.836Z,162520484483601
"-- starting hand #131  (No Limit Texas Hold'em) (dealer: ""NotNa @ xab-egRwTG"") --",2021-07-02T05:47:24.836Z,162520484483600
"""Danny @ O7X4xHB9uL"" shows a A♠, 7♠.",2021-07-02T05:47:23.629Z,162520484362900
"""NotNa @ xab-egRwTG"" shows a Q♥, J♣.",2021-07-02T05:47:22.123Z,162520484212300
"-- ending hand #130 --",2021-07-02T05:47:20.515Z,162520484051502
"""NotNa @ xab-egRwTG"" collected 1.80 from pot",2021-07-02T05:47:20.515Z,162520484051501
"Uncalled bet of 1.35 returned to ""NotNa @ xab-egRwTG""",2021-07-02T05:47:20.515Z,162520484051500
"""Danny @ O7X4xHB9uL"" folds",2021-07-02T05:47:19.708Z,162520483970800
"""not Krish @ p0RkKY2sKx"" folds",2021-07-02T05:47:10.850Z,162520483085000
"""NotNa @ xab-egRwTG"" bets 1.35",2021-07-02T05:46:49.845Z,162520480984500
"Flop:  [7♦, Q♠, 9♥]",2021-07-02T05:46:40.990Z,162520480099000
"""not Krish @ p0RkKY2sKx"" calls 0.60",2021-07-02T05:46:40.183Z,162520480018300
"""NotNa @ xab-egRwTG"" calls 0.60",2021-07-02T05:46:37.038Z,162520479703800
"""Danny @ O7X4xHB9uL"" raises to 0.60",2021-07-02T05:46:22.304Z,162520478230400
"""Zek @ TkiNIriU_5"" folds",2021-07-02T05:46:17.806Z,162520477780600
"""not Krish @ p0RkKY2sKx"" posts a big blind of 0.20",2021-07-02T05:46:15.913Z,162520477591307
"""NotNa @ xab-egRwTG"" posts a small blind of 0.10",2021-07-02T05:46:15.913Z,162520477591306
"Player stacks: #1 ""Zek @ TkiNIriU_5"" (10.69) | #2 ""Danny @ O7X4xHB9uL"" (26.77) | #3 ""NotNa @ xab-egRwTG"" (16.81) | #6 ""not Krish @ p0RkKY2sKx"" (70.73)",2021-07-02T05:46:15.913Z,162520477591301
"-- starting hand #130  (No Limit Texas Hold'em) (dealer: ""Danny @ O7X4xHB9uL"") --",2021-07-02T05:46:15.913Z,162520477591300
"""Zek @ TkiNIriU_5"" shows a A♠, 9♠.",2021-07-02T05:46:11.474Z,162520477147400
"""not Krish @ p0RkKY2sKx"" shows a 7♦, 6♥.",2021-07-02T05:46:09.688Z,162520476968800
"-- ending hand #129 --",2021-07-02T05:46:08.867Z,162520476886702
"""Danny @ O7X4xHB9uL"" collected 14.60 from pot with Two Pair, A's & J's (combination: A♣, A♦, J♦, J♠, K♣)",2021-07-02T05:46:08.867Z,162520476886701
"""Danny @ O7X4xHB9uL"" shows a A♣, K♣.",2021-07-02T05:46:08.867Z,162520476886700
"""Zek @ TkiNIriU_5"" checks",2021-07-02T05:46:08.059Z,162520476805900
"""Danny @ O7X4xHB9uL"" checks",2021-07-02T05:45:48.310Z,162520474831000
"River: 7♣, J♦, 6♠, J♠ [A♦]",2021-07-02T05:45:45.252Z,162520474525200
"""Danny @ O7X4xHB9uL"" calls 3.40",2021-07-02T05:45:44.437Z,162520474443700
"""Zek @ TkiNIriU_5"" bets 3.40",2021-07-02T05:45:43.157Z,162520474315700
"""Danny @ O7X4xHB9uL"" checks",2021-07-02T05:45:34.301Z,162520473430100
"Turn: 7♣, J♦, 6♠ [J♠]",2021-07-02T05:45:29.039Z,162520472903900
"""Danny @ O7X4xHB9uL"" calls 1.80",2021-07-02T05:45:28.229Z,162520472822900
"""Zek @ TkiNIriU_5"" bets 1.80",2021-07-02T05:45:26.628Z,162520472662800
"""Danny @ O7X4xHB9uL"" checks",2021-07-02T05:45:19.510Z,162520471951000
"Flop:  [7♣, J♦, 6♠]",2021-07-02T05:45:13.769Z,162520471376900
"""Zek @ TkiNIriU_5"" calls 2.00",2021-07-02T05:45:12.954Z,162520471295400
"""NotNa @ xab-egRwTG"" folds",2021-07-02T05:45:09.007Z,162520470900700
"""Danny @ O7X4xHB9uL"" raises to 2.00",2021-07-02T05:45:08.106Z,162520470810600
"""Zek @ TkiNIriU_5"" raises to 0.80",2021-07-02T05:45:02.083Z,162520470208300
"""not Krish @ p0RkKY2sKx"" folds",2021-07-02T05:44:39.386Z,162520467938600
"""NotNa @ xab-egRwTG"" posts a big blind of 0.20",2021-07-02T05:44:37.170Z,162520467717007
"""Danny @ O7X4xHB9uL"" posts a small blind of 0.10",2021-07-02T05:44:37.170Z,162520467717006
"Player stacks: #1 ""Zek @ TkiNIriU_5"" (17.89) | #2 ""Danny @ O7X4xHB9uL"" (19.37) | #3 ""NotNa @ xab-egRwTG"" (17.01) | #6 ""not Krish @ p0RkKY2sKx"" (70.73)",2021-07-02T05:44:37.170Z,162520467717001
"-- starting hand #129  (No Limit Texas Hold'em) (dealer: ""Zek @ TkiNIriU_5"") --",2021-07-02T05:44:37.170Z,162520467717000
"""Zek @ TkiNIriU_5"" shows a 8♥, 8♠.",2021-07-02T05:44:32.351Z,162520467235100
"-- ending hand #128 --",2021-07-02T05:44:30.619Z,162520467061902
"""not Krish @ p0RkKY2sKx"" collected 7.00 from pot with Three of a Kind, 4's (combination: 4♠, 4♣, 4♦, Q♣, J♣)",2021-07-02T05:44:30.619Z,162520467061901
"""not Krish @ p0RkKY2sKx"" shows a Q♣, 4♠.",2021-07-02T05:44:30.619Z,162520467061900
"""Zek @ TkiNIriU_5"" calls 1.20",2021-07-02T05:44:29.812Z,162520466981200
"""not Krish @ p0RkKY2sKx"" bets 1.20",2021-07-02T05:44:27.104Z,162520466710400
"""Zek @ TkiNIriU_5"" checks",2021-07-02T05:44:22.280Z,162520466228000
"River: 5♦, 4♣, 4♦, J♣ [10♠]",2021-07-02T05:44:18.189Z,162520465818900
"""not Krish @ p0RkKY2sKx"" checks",2021-07-02T05:44:17.382Z,162520465738200
"""Zek @ TkiNIriU_5"" checks",2021-07-02T05:44:15.381Z,162520465538100
"Turn: 5♦, 4♣, 4♦ [J♣]",2021-07-02T05:44:09.617Z,162520464961700
"""not Krish @ p0RkKY2sKx"" calls 1.00",2021-07-02T05:44:08.808Z,162520464880800
"""Danny @ O7X4xHB9uL"" folds",2021-07-02T05:44:02.333Z,162520464233300
"""Zek @ TkiNIriU_5"" bets 1.00",2021-07-02T05:43:59.479Z,162520463947900
"Flop:  [5♦, 4♣, 4♦]",2021-07-02T05:43:45.622Z,162520462562200
"""not Krish @ p0RkKY2sKx"" calls 0.80",2021-07-02T05:43:44.794Z,162520462479400
"""NotNa @ xab-egRwTG"" folds",2021-07-02T05:43:43.567Z,162520462356700
"""Danny @ O7X4xHB9uL"" calls 0.80",2021-07-02T05:43:42.667Z,162520462266700
"""Zek @ TkiNIriU_5"" raises to 0.80",2021-07-02T05:43:39.672Z,162520461967200
"""not Krish @ p0RkKY2sKx"" calls 0.20",2021-07-02T05:43:34.594Z,162520461459400
"""NotNa @ xab-egRwTG"" calls 0.20",2021-07-02T05:43:33.236Z,162520461323600
"""Danny @ O7X4xHB9uL"" posts a big blind of 0.20",2021-07-02T05:43:16.016Z,162520459601607
"""Zek @ TkiNIriU_5"" posts a small blind of 0.10",2021-07-02T05:43:16.016Z,162520459601606
"Player stacks: #1 ""Zek @ TkiNIriU_5"" (20.89) | #2 ""Danny @ O7X4xHB9uL"" (20.17) | #3 ""NotNa @ xab-egRwTG"" (17.21) | #6 ""not Krish @ p0RkKY2sKx"" (66.73)",2021-07-02T05:43:16.016Z,162520459601601
"-- starting hand #128  (No Limit Texas Hold'em) (dealer: ""not Krish @ p0RkKY2sKx"") --",2021-07-02T05:43:16.016Z,162520459601600
"""Danny @ O7X4xHB9uL"" shows a Q♠, 7♣.",2021-07-02T05:43:13.201Z,162520459320100
"""Zek @ TkiNIriU_5"" shows a Q♣, 8♠.",2021-07-02T05:43:12.092Z,162520459209200
"-- ending hand #127 --",2021-07-02T05:43:11.666Z,162520459166602
"""Danny @ O7X4xHB9uL"" collected 4.50 from pot",2021-07-02T05:43:11.666Z,162520459166601
"Uncalled bet of 4.50 returned to ""Danny @ O7X4xHB9uL""",2021-07-02T05:43:11.666Z,162520459166600
"""Zek @ TkiNIriU_5"" folds",2021-07-02T05:43:10.845Z,162520459084500
"""Danny @ O7X4xHB9uL"" bets 4.50",2021-07-02T05:43:09.610Z,162520458961000
"""Zek @ TkiNIriU_5"" checks",2021-07-02T05:43:06.495Z,162520458649500
"River: Q♥, 7♦, 9♥, 3♠ [J♥]",2021-07-02T05:43:04.934Z,162520458493400
"""Zek @ TkiNIriU_5"" calls 1.35",2021-07-02T05:43:04.127Z,162520458412700
"""Danny @ O7X4xHB9uL"" bets 1.35",2021-07-02T05:43:00.741Z,162520458074100
"""Zek @ TkiNIriU_5"" checks",2021-07-02T05:42:57.259Z,162520457725900
"Turn: Q♥, 7♦, 9♥ [3♠]",2021-07-02T05:42:54.955Z,162520457495500
"""Zek @ TkiNIriU_5"" calls 0.60",2021-07-02T05:42:54.137Z,162520457413700
"""not Krish @ p0RkKY2sKx"" folds",2021-07-02T05:42:51.893Z,162520457189300
"""Danny @ O7X4xHB9uL"" raises to 0.60",2021-07-02T05:42:49.699Z,162520456969900
"""Zek @ TkiNIriU_5"" bets 0.30",2021-07-02T05:42:43.804Z,162520456380400
"""not Krish @ p0RkKY2sKx"" checks",2021-07-02T05:42:39.433Z,162520455943300
"Flop:  [Q♥, 7♦, 9♥]",2021-07-02T05:42:35.967Z,162520455596700
"""Zek @ TkiNIriU_5"" checks",2021-07-02T05:42:35.157Z,162520455515700
"""not Krish @ p0RkKY2sKx"" calls 0.20",2021-07-02T05:42:29.747Z,162520454974700
"""NotNa @ xab-egRwTG"" folds",2021-07-02T05:42:28.848Z,162520454884800
"""Danny @ O7X4xHB9uL"" calls 0.20",2021-07-02T05:42:10.663Z,162520453066300
"""Zek @ TkiNIriU_5"" posts a big blind of 0.20",2021-07-02T05:42:08.723Z,162520452872307
"""not Krish @ p0RkKY2sKx"" posts a small blind of 0.10",2021-07-02T05:42:08.723Z,162520452872306
"Player stacks: #1 ""Zek @ TkiNIriU_5"" (23.04) | #2 ""Danny @ O7X4xHB9uL"" (17.82) | #3 ""NotNa @ xab-egRwTG"" (17.21) | #6 ""not Krish @ p0RkKY2sKx"" (66.93)",2021-07-02T05:42:08.723Z,162520452872301
"-- starting hand #127  (No Limit Texas Hold'em) (dealer: ""NotNa @ xab-egRwTG"") --",2021-07-02T05:42:08.723Z,162520452872300
"""not Krish @ p0RkKY2sKx"" shows a 8♦, 10♠.",2021-07-02T05:42:06.486Z,162520452648600
"-- ending hand #126 --",2021-07-02T05:42:02.196Z,162520452219602
"""NotNa @ xab-egRwTG"" collected 4.50 from pot with Straight, 6 High (combination: 6♠, 5♣, 4♣, 3♦, 2♣)",2021-07-02T05:42:02.196Z,162520452219601
"""NotNa @ xab-egRwTG"" shows a 2♣, 4♣.",2021-07-02T05:42:02.196Z,162520452219600
"""Danny @ O7X4xHB9uL"" calls 1.50",2021-07-02T05:42:01.385Z,162520452138500
"""NotNa @ xab-egRwTG"" bets 1.50",2021-07-02T05:41:58.385Z,162520451838500
"River: 3♦, 5♣, 3♥, 6♠ [A♣]",2021-07-02T05:41:38.142Z,162520449814200
"""Danny @ O7X4xHB9uL"" calls 0.45",2021-07-02T05:41:37.336Z,162520449733600
"""not Krish @ p0RkKY2sKx"" folds",2021-07-02T05:41:31.727Z,162520449172700
"""NotNa @ xab-egRwTG"" bets 0.45",2021-07-02T05:41:30.827Z,162520449082700
"Turn: 3♦, 5♣, 3♥ [6♠]",2021-07-02T05:41:18.489Z,162520447848900
"""Danny @ O7X4xHB9uL"" checks",2021-07-02T05:41:17.681Z,162520447768100
"""not Krish @ p0RkKY2sKx"" checks",2021-07-02T05:41:16.654Z,162520447665400
"""NotNa @ xab-egRwTG"" checks",2021-07-02T05:41:15.736Z,162520447573600
"Flop:  [3♦, 5♣, 3♥]",2021-07-02T05:41:03.284Z,162520446328400
"""not Krish @ p0RkKY2sKx"" checks",2021-07-02T05:41:02.463Z,162520446246300
"""NotNa @ xab-egRwTG"" calls 0.20",2021-07-02T05:40:59.081Z,162520445908100
"""Danny @ O7X4xHB9uL"" calls 0.20",2021-07-02T05:40:53.940Z,162520445394000
"""Zek @ TkiNIriU_5"" folds",2021-07-02T05:40:51.473Z,162520445147300
"""not Krish @ p0RkKY2sKx"" posts a big blind of 0.20",2021-07-02T05:40:45.735Z,162520444573508
"""NotNa @ xab-egRwTG"" posts a small blind of 0.10",2021-07-02T05:40:45.735Z,162520444573507
"Player stacks: #1 ""Zek @ TkiNIriU_5"" (23.04) | #2 ""Danny @ O7X4xHB9uL"" (19.97) | #3 ""NotNa @ xab-egRwTG"" (14.86) | #6 ""not Krish @ p0RkKY2sKx"" (67.13)",2021-07-02T05:40:45.735Z,162520444573502
"-- starting hand #126  (No Limit Texas Hold'em) (dealer: ""Danny @ O7X4xHB9uL"") --",2021-07-02T05:40:45.735Z,162520444573501
"The player ""42069 @ jCGMIB8Sfm"" quits the game with a stack of 0.00.",2021-07-02T05:40:45.735Z,162520444573500
"-- ending hand #125 --",2021-07-02T05:40:39.699Z,162520443969901
"""Zek @ TkiNIriU_5"" collected 13.90 from pot with Two Pair, A's & J's (combination: A♠, A♦, J♥, J♦, K♣)",2021-07-02T05:40:39.699Z,162520443969900
"River: A♦, 8♥, 9♥, K♣ [J♦]",2021-07-02T05:40:35.662Z,162520443566200
"Turn: A♦, 8♥, 9♥ [K♣]",2021-07-02T05:40:31.616Z,162520443161600
"Flop:  [A♦, 8♥, 9♥]",2021-07-02T05:40:27.603Z,162520442760300
"""42069 @ jCGMIB8Sfm"" shows a 6♠, 5♦.",2021-07-02T05:40:23.572Z,162520442357201
"""Zek @ TkiNIriU_5"" shows a J♥, A♠.",2021-07-02T05:40:23.572Z,162520442357200
"""Danny @ O7X4xHB9uL"" folds",2021-07-02T05:40:22.765Z,162520442276500
"""Zek @ TkiNIriU_5"" calls 6.15",2021-07-02T05:40:16.438Z,162520441643800
"""not Krish @ p0RkKY2sKx"" folds",2021-07-02T05:40:05.884Z,162520440588400
"""42069 @ jCGMIB8Sfm"" raises to 6.15 and go all in",2021-07-02T05:39:58.665Z,162520439866500
"""NotNa @ xab-egRwTG"" folds",2021-07-02T05:39:54.859Z,162520439485900
"""Danny @ O7X4xHB9uL"" calls 1.00",2021-07-02T05:39:43.592Z,162520438359200
"""Zek @ TkiNIriU_5"" raises to 1.00",2021-07-02T05:39:38.021Z,162520437802100
"""not Krish @ p0RkKY2sKx"" calls 0.40",2021-07-02T05:39:32.469Z,162520437246900
"""42069 @ jCGMIB8Sfm"" raises to 0.40",2021-07-02T05:39:31.088Z,162520437108800
"""NotNa @ xab-egRwTG"" posts a big blind of 0.20",2021-07-02T05:39:27.704Z,162520436770409
"""Danny @ O7X4xHB9uL"" posts a small blind of 0.10",2021-07-02T05:39:27.704Z,162520436770408
